file,license,license_url,author,credit,date,commons_page,original_url,orig_w,orig_h,harvest_query,title
,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,W.carter,Own work,2016-06-05 13:47:05,https://commons.wikimedia.org/wiki/File:Roof_tiles_packed_in_crate_1.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b2/Roof_tiles_packed_in_crate_1.jpg,4000,3000,search:옥상,File:Roof tiles packed in crate 1.jpg
w3002_cc0_a751f6_Børsen_dragon_spire_roofs_Copenhagen_Denmark.jpg,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,Jebulon,Own work,2016-02-26 15:37:27,https://commons.wikimedia.org/wiki/File:B%C3%B8rsen_dragon_spire_roofs_Copenhagen_Denmark.jpg,https://upload.wikimedia.org/wikipedia/commons/5/5f/B%C3%B8rsen_dragon_spire_roofs_Copenhagen_Denmark.jpg,4004,5948,search:옥상,File:Børsen dragon spire roofs Copenhagen Denmark.jpg
,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Michal Klajban,Own work,"Taken on 26 August 2018, 08:22:20","https://commons.wikimedia.org/wiki/File:View_to_Piran_from_St._George%27s_Parish_Church,_Piran,_Slovenia_11.jpg",https://upload.wikimedia.org/wikipedia/commons/1/19/View_to_Piran_from_St._George%27s_Parish_Church%2C_Piran%2C_Slovenia_11.jpg,5374,3386,search:옥상,"File:View to Piran from St. George's Parish Church, Piran, Slovenia 11.jpg"
,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Dietmar Rabich,Own work,"Taken on 25 September 2017, 11:52","https://commons.wikimedia.org/wiki/File:Santorin_(GR),_Fira_--_2017_--_2598.jpg",https://upload.wikimedia.org/wikipedia/commons/d/d9/Santorin_%28GR%29%2C_Fira_--_2017_--_2598.jpg,5410,3607,search:옥상,"File:Santorin (GR), Fira -- 2017 -- 2598.jpg"
,FAL,http://artlibre.org/licence/lal/en,A.Savin,Own work,2017-01-11,https://commons.wikimedia.org/wiki/File:Larnaca_01-2017_img37_LCA_Airport.jpg,https://upload.wikimedia.org/wikipedia/commons/5/59/Larnaca_01-2017_img37_LCA_Airport.jpg,4897,2754,search:옥상,File:Larnaca 01-2017 img37 LCA Airport.jpg
,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Diego Delso,Own work,2016-09-17 11:36:49,"https://commons.wikimedia.org/wiki/File:Mezquita_Shah,_Teher%C3%A1n,_Ir%C3%A1n,_2016-09-17,_DD_49-51_HDR.jpg",https://upload.wikimedia.org/wikipedia/commons/f/f6/Mezquita_Shah%2C_Teher%C3%A1n%2C_Ir%C3%A1n%2C_2016-09-17%2C_DD_49-51_HDR.jpg,7571,5153,search:옥상,"File:Mezquita Shah, Teherán, Irán, 2016-09-17, DD 49-51 HDR.jpg"
,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Mostafameraji,Own work,2018-09-04 01:43:45,https://commons.wikimedia.org/wiki/File:%D8%AA%D8%B5%D9%88%DB%8C%D8%B1_%D8%B3%D8%B1%D8%A7%D8%B3%D8%B1%D9%86%D9%85%D8%A7_%D8%A7%D8%B2_%D8%A8%D8%A7%D9%85_%DA%A9%D8%A7%D8%B1%D9%88%D8%A7%D9%86%D8%B3%D8%B1%D8%A7%DB%8C_%D8%AF%DB%8C%D8%B1%DA%AF%DA%86%DB%8C%D9%86_%D8%A7%D8%B3%D8%AA%D8%A7%D9%86_%D9%82%D9%85%D8%8C_%D9%85%D8%B9%D9%85%D8%A7%D8%B1%DB%8C_%D8%A8%D8%B1%D8%AC%D8%A7%DB%8C_%D9%85%D8%A7%D9%86%D8%AF%D9%87_%D8%A7%D8%B2_%D8%AF%D9%88%D8%B1%D9%87_%D8%B3%D8%A7%D8%B3%D8%A7%D9%86%DB%8C.jpg,https://upload.wikimedia.org/wikipedia/commons/4/40/%D8%AA%D8%B5%D9%88%DB%8C%D8%B1_%D8%B3%D8%B1%D8%A7%D8%B3%D8%B1%D9%86%D9%85%D8%A7_%D8%A7%D8%B2_%D8%A8%D8%A7%D9%85_%DA%A9%D8%A7%D8%B1%D9%88%D8%A7%D9%86%D8%B3%D8%B1%D8%A7%DB%8C_%D8%AF%DB%8C%D8%B1%DA%AF%DA%86%DB%8C%D9%86_%D8%A7%D8%B3%D8%AA%D8%A7%D9%86_%D9%82%D9%85%D8%8C_%D9%85%D8%B9%D9%85%D8%A7%D8%B1%DB%8C_%D8%A8%D8%B1%D8%AC%D8%A7%DB%8C_%D9%85%D8%A7%D9%86%D8%AF%D9%87_%D8%A7%D8%B2_%D8%AF%D9%88%D8%B1%D9%87_%D8%B3%D8%A7%D8%B3%D8%A7%D9%86%DB%8C.jpg,18431,4759,search:옥상,File:تصویر سراسرنما از بام کاروانسرای دیرگچین استان قم، معماری برجای مانده از دوره ساسانی.jpg
,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Arild Vågen,Own work,2013-11-26 15:50:34,https://commons.wikimedia.org/wiki/File:View_from_Park_inn_Berlin_November_2013.jpg,https://upload.wikimedia.org/wikipedia/commons/6/64/View_from_Park_inn_Berlin_November_2013.jpg,5969,3040,search:옥상,File:View from Park inn Berlin November 2013.jpg
w3009_cc0_cbc09d_Broken_red_roof_tiles_3.jpg,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,W.carter,Own work,2017-03-03 15:29:12,https://commons.wikimedia.org/wiki/File:Broken_red_roof_tiles_3.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7e/Broken_red_roof_tiles_3.jpg,5472,3648,search:옥상,File:Broken red roof tiles 3.jpg
w3010_ccby40_145bfb_Larry_the_cat_posing_on_the_roof_DSCF7128.jpg,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,Trougnouf (Benoit Brummer),Own work,2020-04-08 20:05:50,https://commons.wikimedia.org/wiki/File:Larry_the_cat_posing_on_the_roof_(DSCF7128).jpg,https://upload.wikimedia.org/wikipedia/commons/4/4c/Larry_the_cat_posing_on_the_roof_%28DSCF7128%29.jpg,4936,3295,search:옥상,File:Larry the cat posing on the roof (DSCF7128).jpg
